User_ID,Bank,Amount,Status,Time
U001,SBI,500,Failed,21:00
U002,HDFC,200,Success,18:00
U003,ICICI,1500,Failed,22:30
U004,SBI,300,Success,14:15
U005,HDFC,750,Failed,21:45
U006,Axis,400,Success,16:20
U007,SBI,1200,Failed,20:30
U008,ICICI,600,Success,19:10
U009,HDFC,250,Failed,21:00
U010,SBI,800,Success,17:45
U011,Kotak,350,Failed,22:00
U012,HDFC,950,Success,15:30
U013,SBI,450,Failed,21:15
U014,ICICI,1100,Success,13:20
U015,Axis,650,Failed,20:45
U016,SBI,300,Success,16:00
U017,HDFC,1800,Failed,21:30
U018,ICICI,275,Success,18:45
U019,SBI,700,Failed,22:15
U020,HDFC,425,Success,14:30
U021,Axis,900,Failed,21:00
U022,SBI,550,Success,17:20
U023,ICICI,1350,Failed,20:50
U024,HDFC,325,Success,19:15
U025,SBI,675,Failed,21:40
U026,Kotak,475,Success,15:45
U027,ICICI,825,Failed,22:20
U028,HDFC,290,Success,16:30
U029,SBI,1100,Failed,21:10
U030,Axis,375,Success,18:00